video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
zzRgmpIwIXI,ശിവാനിയുടെ കല്യാണപ്പന്തലിൽ ഞെട്ടിത്തരിക്കുന്ന ഒരു കാഴ്ച,"ഉപ്പും മുളകും | ഇന്ന് വൈകുന്നേരം 6.30 മണിക്ക് ഫ്ളവേഴ്സിൽ
Uppum Mulakum 3 | Today at 6.30 PM | Flowers TV
#uppummulakum3 #comedyseries #flowerstv 

ആസ്വദിക്കാം ഇടവേളകളില്ലാത്ത കാഴ്ച്ചവസന്തം ഫ്‌ളവേഴ്‌സ് ലൈവായി | Flowers LIVE TV  
സബ്സ്ക്രൈബ് ചെയ്യൂ.. ഒപ്പം ചേരൂ...
Join this channel to get access to perks:
https://www.youtube.com/channel/UCmAPdImtXLGh5E-lTTH4Qmg/join 

Our Channel List 

Flowers Comedy -http://j.mp/flowerscomedy
Flowers On Air -http://j.mp/flowersonair

Our Social Media 

Facebook- https://www.facebook.com/flowersonair 
Twitter https://www.twitter.com/flowersonair
Instagram -https://www.instagram.com/flowersonair",2025-06-30T01:00:54Z,UC4Zgm_UaEwZqvdrzwvh_O2A,Flowers  Promos,24,"['Flowers Top Singer 2 promo', 'promo', 'Flowers Promo', 'Flowers Tv promo', 'Flowers Oru Kodi', 'Surabhiyum Suhasiniyum', 'Star Magic', 'susu', 'susu promo', 'surabhiyum suhasiniyum promo', 'star magic promo', 'ComedyShow', 'ComedySeries', 'Chakkapazham', 'Chakkappazham promo', 'UppumMulakum', 'Uppum Mulakum promo', 'Panchagni', 'Home', 'ithu item vere', 'flowers orukodi', 'Sukhamodevi']",PT47S,hd,false,591315,8148,0,0,483
PGeuOtwDquE,BroCode Roast Battle  |  S2. Ep5,"Welcome back to the world of #Roastcomedy, with the fifth episode of BroCode Roast Show.

Watch as #StandUpComedy artists  @shreyapriyam83 @boi_onkar @ComicKaustubhAgarwal @kushagrasrivastavaa @madhurvirli @pavitrashettycomedy @RajatSood @Rawhitsingh  & Me,  Aashish Solanki throw sharp and hilariously brutal jokes at each other.

More Episodes releasing soon. Subscribe for updates.

🔥 Want more?
To get access to unreleased edited-out content of this episode and behind the scenes.

Follow Bro Code Roast on Instagram: https://www.instagram.com/brocoderoastbyaashish/
and
Check out our YouTube Shorts for quick laughs and highlights.

🚨 Viewer Advisory: Contains Explicit Content. Headphones Recommended.

👍 Engage & Connect:

- Subscribe: to the channel for the latest updates and episodes.
- Like and Comment below to share your thoughts!
- For Live Show Tickets: http://linktr.ee/aashishsolanki
- Follow me on Instagram: https://www.instagram.com/ashishsolanki_1/

📧 Business Inquiries: Reach out at info.aashishsolanki@gmail.com

Chapters:
00:00​ Coming Up Next…
01:25  Intro
04:47 Introduction of the Panel
07:40 Aashish on Shreya
08:07 Shreya on Panel
15:12 Aashish on Madhur
16:15 Madhur on Panel
24:17 Aashish on Kaustubh
25:29 Kaustubh on Panel
32:01 Aashish on Pavitra
32:51 Pavitra on Panel
37:51 Fun Segment
43:28 Aashish on Rajat
44:24 Rajat on Panel
57:52 Aashish on Rohit
58:52 Rohit on Panel 
01:06:08 Aashish on Kushagra
01:07:20 Kushagra on Panel
01:13:44 Aashish on Onkar
01:14:20 Onkar on Panel
01:22:27 Surprise
01:25:18 - BTS & Credits

-----

The “BroCode Roast Show” is sponsored by BroCode X, a range of non-alcoholic beverages including energy drinks and other zero-alcohol refreshments. This show does not feature, promote, or advertise any alcoholic beverages. Any reference to the term “BroCode” pertains solely to the non-alcoholic product range under BroCode X, and not to any alcoholic beverage. Viewer discretion is advised due to the comedic and satirical nature of the content. The show complies with applicable advertising and regulatory guidelines, including ASCI’s Code for Self-Regulation in Advertising.",2025-06-28T20:13:41Z,UCaUr7y4F9lWGnZ0cbUZyzYA,Aashish Solanki,23,"['Aashish', 'Ashish solanki', 'asis solnaki', 'roast', 'rost', 'roast video', 'brocode', 'roast brocode']",PT1H27M48S,hd,true,2124256,99569,0,0,5527
ISHiW5dehfE,Watching Our Most EMBARRASSING Moment | SlayyPop,"We react to our most embarrassing day on Youtube lol.

When Slayy Point met Bhuvan Bam, Ashish chanchlani, Technical Guruji, etc.

Instagram -  @Abhyudaya_Mohan & @GautamiKawale
https://www.instagram.com/abhyudaya_mohan/
https://www.instagram.com/gautamikawale/",2025-06-29T13:30:17Z,UCSfxFZFzcpYMbOB3A1rWHAg,SlayyPop,20,"['slayy point', 'slayypop', 'abhyudaya', 'gautami', 'fanfest', 'youtube', 'bb ki vines', 'ashish chanchlani']",PT23M16S,hd,false,1233182,72800,0,0,2438
93t5Dl4Njgc,Vetri Maaran’s Next - World of Vadachennai,#VetriMaaran #Vadachennai #WorldOfVadachennai #VetriMaaranNext #VetriMaaran_Dhanush #VetriMaaran_SilambarasanTR #KalaipuliSThanu #VCreations,2025-06-30T02:58:29Z,UCosTKZUQcYdUd_jQesw32zQ,Grass Root Film Company,24,"['Vetri Maaran', 'Vadachennai', 'World of Vadachennai', 'Vetri Maaran Next Movie', 'Vetri Maaran Upcoming Movie', 'Vadachennai 2', 'Dhanush Vadachennai', 'Vetri Maaran Dhanush', 'Vetri Maaran New Film', 'Vetri Maaran 2025', 'Vadachennai Universe', 'Vetri Maaran Latest Update', 'Vadachennai Sequel', 'Tamil Movies 2025', 'Latest Vetri Maaran Movie', 'World Of Vadachennai Update']",PT8M56S,hd,false,364513,20819,0,0,769
dTjIz0TI64c,Hiding in my Relative’s HOUSE and SCARING them!! *They called Police* 😳,,2025-06-29T07:45:06Z,UCBu8GHpHy9vX8ixdTb38kIQ,Pragati Verma,24,[],PT17M43S,hd,false,1135404,29500,0,0,3359
9fdsRKdJBr0,I Only Have 1 Hour Left To Live...Can I Play GTA 6?,"What if You Only have 60 minutes left to play Grand Theft Auto 6? Today we play Fake GTA 6 Clones on PC and Android. We play funny gta games with Jason and Lucia. Hope you enjoy this video!

follow me - https://www.instagram.com/mythpat
my headphones - https://www.armor.shop

Thank you doctor @Thugesh 
This video is funny joke parody video of GTA 6 Gameplay. No Copyright Infringement intended. I am very excited for GTA 6!

#gta6",2025-06-29T08:52:57Z,UCx6F-rETGiz7xf_vkMmX2yQ,Mythpat,20,"['mythpat gta 6 gameplay', 'mythpat funny videos', 'gta 6 funny gaming video']",PT18M44S,hd,false,1557918,57989,0,0,4576
BRyVgscui7Q,Sawrga narka | Dadus series | Vinayak Mali Comedy,"🎥 Dadus Series – Swarg / Narak (Heaven & Hell Special)
Genre: Comedy | Fantasy | VFX
Concept:
This episode dives into the age-old themes of heaven and hell — but with a hilarious twist! 😈😇

https://rollyrich.com/
Now you can purchase your rollyrich tshirt through our website.

Cast
Ashish 
Pratikesh thombare
Nivrutti patil 
Vaibhav pawar
akansha 
preeti 
chhaya sadar
aparna ghadgb
pooja kadam
sapna jadhav 
shraddha

Vfx by 
munna nimbal 

Cameraman
Shubham panpatil ( studio )
Usama sendole ( outdoor scene )

managment team-
studio managment 
Suresh jadhav
outdoor shoot 
sahil bughde
saurabh patil

Thumbnail 
Jasmit patil",2025-06-28T15:01:27Z,UCSB-L3HN2tJoizsxR45vUFQ,Vinayak Mali,22,[],PT25M9S,hd,false,780564,28937,0,0,837
KMqpwJl92GM,Itachi Teaser | Dark Crows Descend | Free Fire MAX x NARUTO SHIPPUDEN | Free Fire MAX,"Crows watch over the dusk as the war rises on the horizon. Dare to challenge me... if you have the strength. Stay tuned for more!

Follow us on -  

Instagram: https://www.instagram.com/freefireindiaofficial/
Facebook:  https://www.facebook.com/freefireIND

#FreeFireMAX #FFMxNARUTOSHIPPUDEN #Naruto #NarutoShippuden #Itachi",2025-06-28T09:17:31Z,UC4AB0_ectRryjCF_ugD0U8w,Free Fire India Official,20,[],PT40S,hd,false,1453707,75072,0,0,3547
R3L6edOy5bY,Fake Podcast with Middle Class Baap | राजेश अंकल | Season Finale EP-10,"Middle Class Baap Rajesh uncle comes on Fake Podcast and he is interviewed by Prashn Kumar on desi parenting, enjoy the funny Ride.

Download Astrotalk app here - https://chat.astrotalk.com/YbLv/SRD
First chat is free from my link

Fake Podcast | Season Finale – Middle Class Dad Unfiltered 
In this explosively funny finale, Prashann Kumar interviews the most iconic character of Indian households — the middle-class desi father. From love marriage vs arranged marriage, therapy jokes, toxic parenting, and Sonam-Raja-style honeymoon murder fears, to Parents Teacher Meetings slaps, privacy invasion, Instagram spying, and beating kids for spelling “chummi” wrong, this episode brutally exposes what it’s like growing up with a “traditional Indian dad.”

Whether you’re a college student, a working professional, a new-age parent, or just someone in therapy because of one – you’ll relate, and laugh out loud.


Performed by: Satish Ray, Abhishek Singh
Written by: Satish Ray, Abhishek Singh, Nitesh Tiwari
Cinematography and studio by: Magnality Films, Andheri West
Edited by: Omkar Bhalerao
Production: Omkar Bhalerao, Harsh Pandey
Creative Director: Nitesh Tiwari
Thumbnail by: Omkar Bhalerao


#satishray #fakepodcast #comedy ##india 
#FakePodcast #SatishRay #DesiDad #ComedyPodcast #MiddleClassIndia #DarkHumor #IndianFamily #RelatableComedy #FatherVsSon #DesiParents #SonamRajaCase #ArrangedMarriage #AstroTalk #YouthIssues #WorkingMillennials #StandupIndia #SatiricalPodcast #TherapyHumor #PTMSlaps #OnlineShopping #IndianParenting

* * * 

Follow me on
Instagram:  https://www.instagram.com/satishray_/
Facebook: https://www.facebook.com/thesatishray_

Music from #InAudio: https://inaudio.org/track/ready-or-not-rock",2025-06-29T04:52:27Z,UC_m9amgaxYJaNcOJfbQf-EA,Satish Ray,24,"['satish ray tvf', 'imandar sharma', 'imaandar sharma', 'imaandaar sharma', 'imandar interview', 'imaandar interview tvf', 'tvf', 'tsp', 'funny', 'comedy', 'vines', 'fun', 'Satish ray', 'Fake podcast', 'Podcast', 'Funny podcast', 'Comedy podcast', 'Bihari podcast', 'Middle class baap', 'Indian parents', 'Fathers day', 'Indian father', 'Baap', 'Desi dad', 'Desi', 'therapy', 'Education', 'Jobs', 'Marriage', 'Love vs arranged marriages']",PT35M10S,hd,false,1235229,72339,0,0,4810
UGmcOTWN-1o,3 BHK | Episode - 1 |  Telugu Web Series | Dora Sai Teja | Viraajitha | Tej India | Infinitum Media,"Find your solution to a Dream Home here  👉👉👉  https://bitly.cx/YK5s

Presenting the web series of 3 BHK, starring Dora Sai Teja and Viraajitha. A heartfelt story of a family next door reaching for the next big step in their life.

""3BHK"" is an Upcoming Telugu Web Series Featuring Dora Sai Teja & Viraajitha as leads. 

Produced by SD Chada 

Co-Produced by Dhirajj Sourya (Dora Sai Teja)

Cast: Dora Sai Teja, Viraajitha, Murali Krishna, Vanaja, Sumana, Chintu, Chandana, Sathwik G Roy, Spoorthy.

Written & Directed by Dhirajj Sourya (Dora Sai Teja)

DOP: 
Kotha Ranadheer Reddy, Yashwanth Ravella.

Editing:
Madhu Kallepalli, Chinna.

DI: 
Tara Chandra Shekar

Co-Director: 
Vishnu Vardhan Manne

Associate Director & Costumes: Prabhas

Publicity Designer: 
Bharath Moka

Sound Engineer: 
Venkat, Bhaskar.

Executive Manager: Bhagath

Executive Producer: Rahul Nimmakuri

#3BHKWebSeries #DoraSaiTeja #Viraajitha #TeluguWebSeries2025 #InfinitumMedia #3BHK 

Presented by Infinitum Network Solutions.",2025-06-28T15:11:49Z,UCLcEgVo16evDiKEzl7zcQ_g,Tej India,24,"['Telangana', 'Tejindia channel', 'telugu funny videos', 'telugu comedy videos', 'telangana comedy videos']",PT16M37S,hd,false,719656,35825,0,0,532
kpnoibF4eNg,Ilia Topuria Knocks Out Charles Oliveira 👊 | UFC 317,"At UFC 317 Ilia Topuria put Charles Oliveira to sleep to win the Lightweight Belt! 🔥

Order UFC PPV on ESPN+ ➡️ https://ufc.ac/3NKBvmx (U.S. only)

Order UFC PPV ➡️ https://ufc.com/ppv (Non U.S.)

Subscribe to get all the latest UFC content: https://ufc.ac/3u8FIJp

Experience UFC live with UFC FIGHT PASS, the digital subscription service of the UFC. Visit https://ufcfightpass.com/

👉 Shop official UFC Gear, visit https://ufcstore.com
👉 Shop official UFC Memorabilia, visit https://ufccollectibles.com
👉 Shop official UFC VIP Live Event Experiences, visit https://ufc.ac/3Oz2gLH

Connect with UFC online and on Social:
🔴 Website: https://www.ufc.com
🔵 Twitter: https://www.twitter.com/ufc
🔵 Facebook: https://www.facebook.com/ufc
🔴 Instagram: https://www.instagram.com/ufc
🟡 Snapchat: https://www.snapchat.com/add/ufc
🟣 Twitch: https://www.twitch.tv/ufc
⏯️ UFC Video Archive: https://ufc.ac/3x6Wflx

Connect with UFC FIGHT PASS on Social:
🔵 Twitter: https://www.twitter.com/ufcfightpass
🔵 Facebook: https://www.facebook.com/ufcfightpass
🔴 Instagram: https://www.instagram.com/ufcfightpass

#UFC #iliatopuria #ufc317",2025-06-29T05:14:05Z,UCvgfXK4nTYKudb0rFR6noLA,UFC,17,"['ufc', 'mma', 'ultimate fighting championship', 'ilia topuria knocks out charles oliveira', 'ilia topuria knocks out oliveira', 'ufc ilia topuria vs charles oliveira', 'charles oliveira vs ilia topuria', 'ilia topuria vs charles oliveira', 'luta ilia topuria vs charles oliveira', 'charles oliveira warned ilia topuria', 'ufc charles oliveira vs topuria', 'rounds da luta ilia topuria vs charles oliveira', 'ilia topuria vs charles oliveira full fight', 'charles oliveira vs ilia topuria full fight']",PT5M57S,hd,false,11439948,244146,0,0,19953
Qb8S1Rp_gYU,Mangli Renuka Yellamma | Bonalu Song 2025 | Full Song | Suresh Bobbili | Indravathi | Nakka Srikanth,"🎶 MANGLI RENUKA YELLAMMA | BONALU SONG 2025 🎉
Celebrate the divine power of Renuka Yellamma with this energetic Bonalu 2025 anthem! Sung by the sensational Mangli and composed by the dynamic Suresh Bobbili, this song is a tribute to Telangana’s rich folk culture and the fierce goddess worshipped across the region.

Feel the spiritual energy rise as beats, devotion, and traditional Telangana folk vibes come alive in this electrifying song.


#mangli  #manglisongs #bonalusong2025  #manglibonalusongs #telanganabonalu #bonalunewsongs #nakkasrikanth #oggukatha #baindlakatha #renukayellammasongs


Director - Damu Reddy 
Singers : Mangli, Nakka Srikanth Yadav & Indravathi Chauhan 
Music : Suresh Bobbili
Cherographey :  Shekar Virus 
Source : Oggu Katha & Bindla  Katha 
Sekarana : Nakka Srikanth Yadav
DOP - Tirupathi 
Editing: Nikhil Goud 
DI :  Mayasabha Studios 
Colorist : Anvesh
Stylist : Rishi Choudary 
Camera Assnts : Paramesh & Pencil Balu 
Publicity Designs : Rana 
Execution - Shiva Chauhan 
Manager : Megharaj 
Producer - Balu Nayak 

Makeup & Hair Done by swathis_makeup_academy  
Costume Disigner by : beauty meets  Fashion by Jeevana

*Special Thanks*
Jenwada Venkanna, Kamli Patel (DOP) & Dev Rathod",2025-06-27T02:30:06Z,UC91m634trv4XQcJzOWQo4qQ,Mangli Official,10,"['Mangli', 'Yellamma Bonam', 'Full Song', 'Suresh Bobbili', 'Indravathi Chauhan', 'Damu Reddy', 'Bonalu Song', 'Yellamma Song', 'Telugu Songs', 'Festival Music', 'Bonalu new songs', 'Mangli latest song', 'Mangli songs', 'Mangli singer', 'Hyderabad bonalu', 'mangli bonalu song 2025', 'nakka srikanth songs', 'oggu katha bonalu', 'mangli new song', 'mangli 2025 bonalu song', 'renuka yellamma song', 'shekar virus', 'telangana bonalu', 'new bonalu song', 'telugu songs new']",PT4M36S,hd,false,1978096,46474,0,0,1258
cvgzvb01Tag,Nobita Build His Most Expensive Country! 🤩,"Nobita Build His Most Expensive Country! 🤩

Subscribe
Subscribe
Subscribe


Thanks For Watching🎈
~Tyro Gaming








Nobita Game
Doraemon Game
Shinchan Game
Funny Game Roblox
Mini City Tycoon",2025-06-29T13:35:54Z,UCIpN4Y3Pt00Q9KoQMWI77_Q,Tyro Gaming,20,"['Nobita Build His Most Expensive Country! 🤩', 'Funny Game', 'junkeyy', 'epic depic', 'Shivang mini', 'Shinchan game', 'Doraemon Game', 'Nobita Game', 'Shinchan in hindi', 'Green Gaming', 'Gaming with Demon', 'Shinchan Gaming', 'Frostbite Gaming', 'Epic Playz', 'VeryNuclear', 'Rock Indian Gamer', 'Amaan-T', 'Flight Gamer', 'Proboiz', 'Tyro Gaming', 'Proboii', 'Taro gaming', 'Funny Game Roblox', 'Doraemon New Episode', 'Shinchan New Episode', 'Mini City Tycoon', 'City Tycoon', 'Build Country', 'Built City']",PT11M17S,hd,false,566233,6218,0,0,957
MjJ_yhuUoDE,Made a Cake for Ozy’s Pregnancy Craving 🍰 | Ishaani Krishna.,#baking #cake #pregnancycraving #ishaanikrishna #diyakrishna,2025-06-28T06:03:34Z,UCDIuIf4lKDneweAYP1ZhDiQ,Ishaani Krishna,22,[],PT22M9S,hd,false,899332,22420,0,0,698
x7uLutVRBfI,Demon Slayer: Kimetsu no Yaiba Infinity Castle | MAIN TRAILER,"Demon Slayer: Kimetsu no Yaiba Infinity Castle is only in Movie Theatres September 12 ⚔️ https://demonslayer-movie.com

Tanjiro Kamado – a boy who joined an organization dedicated to hunting down demons called the Demon Slayer Corps after his younger sister Nezuko was turned into a demon.

While growing stronger and deepening his friendships and bonds with fellow corps members, Tanjiro has battled many demons with his comrades, Zenitsu Agatsuma and Inosuke Hashibira. Along the way, his journey has led him to fight alongside the Demon Slayer Corps’ highest-ranking swordsmen, the Hashira, including Flame Hashira Kyojuro Rengoku aboard the Mugen Train, Sound Hashira Tengen Uzui within the Entertainment District, as well as Mist Hashira Muichiro Tokito and Love Hashira Mitsuri Kanroji at the Swordsmith Village.

As the Demon Slayer Corps members and Hashira engaged in a group strength training program, the Hashira Training, in preparation for the forthcoming battle against the demons, Muzan Kibutsuji appears at the Ubuyashiki Mansion. With the head of the Demon Corps in danger, Tanjiro and the Hashira rush to the headquarters but are plunged into a deep descent to a mysterious space by the hands of Muzan Kibutsuji.

The destination of where Tanjiro and Demon Slayer Corps have fallen is the demons’ stronghold – the Infinity Castle. And so, the battleground is set as the final battle between the Demon Slayer Corps and the demons ignites.

Crunchyroll brings you the latest clips, openings, full episodes, and more from your favorite anime!

FREE 7-DAY CRUNCHYROLL TRIAL 🌟 https://got.cr/cc-7dayspv

#DemonSlayer #KimetsunoYaiba #Crunchyroll",2025-06-28T14:01:35Z,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,24,[],PT1M31S,hd,false,3018805,137536,0,0,5698
